fid,confidence,metadata,class,source,reviewed,code,created_by
1,"5",,,,,GREROB,kanoa
2,"5",,,,,GREROB,kanoa
3,"5",,,,,GREROB,kanoa
4,"5",,,,,UNPRED,kanoa
5,"5",,,,,FLNDED,kanoa
6,"5",,,,,GREROB,kanoa
7,"5",,,,,STDDED,kanoa
8,"5",,,,,GREROB,kanoa
9,"5",,,,,GREROB,kanoa
10,"5",,,,,GREROB,kanoa
11,"5",,,,,JACMIM,kanoa
12,"5",,,,,STDDED,kanoa
13,"5",,,,,STDDED,kanoa
14,"5",,,,,STDDED,kanoa
15,"5",,,,,STDDED,kanoa
16,"5",,,,,GREROB,kanoa
17,"5",,,,,GREROB,kanoa
18,"5",,,,,GREROB,kanoa
19,"5",,,,,GREROB,kanoa
20,"5",,,,,GREROB,kanoa
21,"5",,,,,GREROB,kanoa
22,"5",,,,,GREROB,kanoa
23,"5",,,,,GREROB,kanoa
24,"5",,,,,GREROB,kanoa
25,"5",,,,,GREROB,kanoa
26,"4",,,,,GREROB,kanoa
27,"5",,,,,UNPRED,kanoa
28,"5",,,,,GREROB,kanoa
29,"5",,,,,GREROB,kanoa
30,"5",,,,,GREROB,kanoa
31,"5",,,,,GREROB,kanoa
32,"5",,,,,GREROB,kanoa
33,"5",,,,,GREROB,kanoa
34,"5",,,,,GREROB,kanoa
35,"5",,,,,GREROB,kanoa
36,"5",,,,,STDDED,kanoa
37,"5",,,,,GREROB,kanoa
38,"5",,,,,STDDED,kanoa
39,"5",,,,,STDDED,kanoa
40,"5",,,,,STDDED,kanoa
41,"5",,,,,STDDED,kanoa
42,"5",,,,,STDDED,kanoa
43,"5",,,,,STDDED,kanoa
44,"5",,,,,GREROB,kanoa
45,"5",,,,,GREROB,kanoa
46,"5",,,,,UNKOWN,kanoa
47,"5",,,,,GREROB,kanoa
48,"5",,,,,STDDED,kanoa
49,"5",,,,,STDDED,kanoa
50,"5",,,,,GREROB,kanoa
51,"5",,,,,GREROB,kanoa
52,"5",,,,,GREROB,kanoa
53,"5",,,,,GREROB,kanoa
54,"5",,,,,GREROB,kanoa
55,"5",,,,,GREROB,kanoa
56,"5",,,,,GREROB,kanoa
57,"5",,,,,GREROB,kanoa
58,"5",,,,,GREROB,kanoa
59,"5",,,,,GREROB,kanoa
60,"5",,,,,GREROB,kanoa
61,"5",,,,,GREROB,kanoa
62,"5",,,,,GREROB,kanoa
63,"5",,,,,GREROB,kanoa
64,"5",,,,,GREROB,kanoa
65,"5",,,,,GREROB,kanoa
66,"5",,,,,GREROB,kanoa
67,"5",,,,,GREROB,kanoa
68,"5",,,,,STDDED,kanoa
69,"5",,,,,JACMIM,kanoa
70,"5",,,,,JACMIM,kanoa
71,"5",,,,,UNPRED,kanoa
72,"5",,,,,JACMIM,kanoa
73,"5",,,,,JACMIM,kanoa
74,"5",,,,,FLNDED,kanoa
75,"5",,,,,JACMIM,kanoa
76,"5",,,,,JACMIM,kanoa
77,"5",,,,,JACMIM,kanoa
78,"5",,,,,JACMIM,kanoa
79,"5",,,,,JACMIM,kanoa
80,"5",,,,,STDDED,kanoa
81,"5",,,,,GREROB,kanoa
82,"5",,,,,GREROB,kanoa
83,"5",,,,,GREROB,kanoa
84,"5",,,,,GREROB,kanoa
85,"5",,,,,GREROB,kanoa
86,"5",,,,,JACMIM,kanoa
87,"5",,,,,JACMIM,kanoa
88,"5",,,,,GREROB,kanoa
89,"5",,,,,STDDED,kanoa
90,"5",,,,,STDDED,kanoa
91,"5",,,,,STDDED,kanoa
92,"5",,,,,JACMIM,kanoa
93,"5",,,,,JACMIM,kanoa
94,"5",,,,,JACMIM,kanoa
